nombre,email,codigoArea,telefono,provincia,comentrios,idu,modelo,pais
guillermo,gschvartz@dridco.com,011,49534455,Buenos Aires,blablablablabla,100,Citroen,ar
guillermow,gschvartz@dridco.com,011,4953asd4455,Buenos Aires,blablablablabla,100,Citroen,ar
guillermoe,gschvartz@dridco.com,011,49534f455,Buenos Aires,blabltttrgert345345ablablabla,100,Citroen,ar
guillermor,gschvartz@dridco.com,011,495g34455,Buenos Aires,blablablablabla,100,Citroen,ar
guillermot,gschvartz@dridco.com,011,49534455,Buenos Aires,blablablablabla,100,Cierter345345troen,ar
guillermo5,gschvartz@dridco.com,011,49534455,Buenos Aeeeeres,blablablablabla,100,Citroen,ar
guillermo56,gschvartz@dridco.com,011,49534455,Buenos Aires,blablablablabla,100,Citroen,ar
guillerm8o,gschvartz@dridco.com,011,49534sfsdf455,Buenos Aires,blablablablabla,100,Citroen,ar
guiller7mo,gschvartz@dridco.com,011,49534455,Buenos Aires,blablablablabla,100,Citroen,ar
guiller9mo,gschvartz@dridco.com,011,49534455,Buenos Aires,blablablablabla,100,Citroen,ar
